"eta","q","transformation","metric","group","mean","sd"
-0.7,0.5,"dual_group_logit","kurtosis","A",1.49108784093675,0.0400042654548364
-0.7,0.5,"dual_group_logit","kurtosis","B",1.97786265676973,0.0797779031792923
-0.7,0.5,"dual_group_boxcox","skewness","A",0.220124972823215,0.0348341004934523
-0.7,0.5,"dual_group_boxcox","skewness","B",0.45583360278236,0.0400822602328839
-0.7,0.5,"dual_group_boxcox","kurtosis","A",1.23607504651321,0.0220408280174372
-0.7,0.5,"dual_group_boxcox","kurtosis","B",1.52033670725568,0.0481114426988656
-0.7,0.5,"boxcox","skewness","A",0.220207855147024,0.0350539840444042
-0.7,0.5,"boxcox","skewness","B",0.45510797412689,0.040299207406457
-0.7,0.5,"boxcox","kurtosis","A",1.23665370586942,0.0219588615840606
-0.7,0.5,"boxcox","kurtosis","B",1.5176546363489,0.0488278477854373
-0.7,0.7,"original","skewness","A",3.47106005806977,0.131192104102362
-0.7,0.7,"original","skewness","B",3.88803431149737,0.123376463117681
-0.7,0.7,"original","kurtosis","A",15.9781236814822,1.13509120274813
-0.7,0.7,"original","kurtosis","B",19.5682954277517,1.12676597368409
-0.7,0.7,"logit","skewness","A",1.21355719583571,0.0581566983962492
-0.7,0.7,"logit","skewness","B",1.49501544178561,0.0626509230333606
-0.7,0.7,"logit","kurtosis","A",2.87570698719791,0.172597859509438
-0.7,0.7,"logit","kurtosis","B",3.96008710348913,0.261920094078775
-0.7,0.7,"log","skewness","A",1.19438937141029,0.0580681133461443
-0.7,0.7,"log","skewness","B",1.47642805685097,0.0623309068412639
-0.7,0.7,"log","kurtosis","A",2.8000300000551,0.168419557382572
-0.7,0.7,"log","kurtosis","B",3.87433455414962,0.256759977222835
-0.7,0.7,"tangent","skewness","A",0.963582839817088,0.0539587459457269
-0.7,0.7,"tangent","skewness","B",1.15124844401064,0.0566730946318059
-0.7,0.7,"tangent","kurtosis","A",2.07358875386394,0.120455307437887
-0.7,0.7,"tangent","kurtosis","B",2.56650778737541,0.162892584470909
-0.7,0.7,"arcsine","skewness","A",2.38988619627088,0.0936558653877447
-0.7,0.7,"arcsine","skewness","B",2.80848942163786,0.095383531290152
-0.7,0.7,"arcsine","kurtosis","A",8.58168595579839,0.619935752123538
-0.7,0.7,"arcsine","kurtosis","B",11.5084339797047,0.755383220728913
-0.7,0.7,"dual_group_logit","skewness","A",1.21281637720828,0.0579268107225362
-0.7,0.7,"dual_group_logit","skewness","B",1.49387657249082,0.0624593026335842
-0.7,0.7,"dual_group_logit","kurtosis","A",2.87132455701465,0.170424462548912
-0.7,0.7,"dual_group_logit","kurtosis","B",3.95176631932622,0.259503815709148
-0.7,0.7,"dual_group_boxcox","skewness","A",0.992054258538798,0.0529060476857324
-0.7,0.7,"dual_group_boxcox","skewness","B",1.19693663922419,0.0558707330824629
-0.7,0.7,"dual_group_boxcox","kurtosis","A",2.14424496025409,0.120922090618207
-0.7,0.7,"dual_group_boxcox","kurtosis","B",2.71210698388401,0.16678926309355
-0.7,0.7,"boxcox","skewness","A",0.992014808798387,0.0530122434956293
-0.7,0.7,"boxcox","skewness","B",1.19637366006485,0.0556747403932688
-0.7,0.7,"boxcox","kurtosis","A",2.14427533340516,0.121154433835192
-0.7,0.7,"boxcox","kurtosis","B",2.70902379387687,0.165929896080242
